Name,Value. Adaptability,Value. All Around Friendliness,Value. Exercise Needs,Value. Health Grooming,Value. Trainability,Value.Adapts Well to Apartment Living,Value.Affectionate with Family,Value.Amount Of Shedding,Value.Dog Friendly,Value.Drooling Potential,Value.Easy To Groom,Value.Easy To Train,Value.Energy Level,Value.Exercise Needs,Value.Friendly Toward Strangers,Value.General Health,Value.Good For Novice Owners,Value.Incredibly Kid Friendly Dogs,Value.Intelligence,Value.Intensity,Value.Potential For Mouthiness,Value.Potential For Playfulness,Value.Potential For Weight Gain,Value.Prey Drive,Value.Sensitivity Level,Value.Size,Value.Tendency To Bark Or Howl,Value.Tolerates Being Alone,Value.Tolerates Cold Weather,Value.Tolerates Hot Weather,Value.Wanderlust Potential
Boerboel,2,3,4,4,3,1,4,3,2,4,4,2,3,4,2,4,1,4,4,4,3,4,3,3,3,5,3,2,3,4,4
Bolognese,3,5,3,2,4,5,5,1,5,1,1,5,3,4,5,5,3,5,4,3,4,3,3,5,5,1,4,2,2,3,1
Border Collie,3,4,5,3,4,2,5,3,3,1,3,5,5,5,5,2,2,4,5,3,3,5,3,3,5,3,2,1,4,4,3
Border Terrier,3,4,5,3,4,4,5,3,2,1,2,3,4,5,5,4,3,4,5,4,5,5,5,5,3,2,1,1,4,3,4
Borzoi,4,4,2,4,4,5,4,5,4,1,4,3,2,2,4,4,3,3,4,2,3,3,2,5,5,5,2,1,4,3,4
Boston Terrier,4,5,5,3,3,5,4,2,5,1,5,4,4,4,4,4,4,5,4,5,2,5,3,2,5,2,3,3,3,2,5
Bouvier des Flandres,3,4,4,3,3,3,5,1,2,1,2,5,4,4,2,3,2,5,4,5,2,4,4,2,4,4,4,2,4,2,2
Boxer,3,4,5,3,3,4,5,4,3,2,5,4,5,5,4,2,3,4,4,5,2,5,4,3,4,3,3,1,2,1,3
Boykin Spaniel,3,4,5,3,4,1,5,4,4,1,1,4,5,5,3,2,3,5,4,5,4,4,4,2,4,3,3,3,3,4,4
Bracco Italiano,3,4,4,3,3,1,5,3,5,3,5,3,4,5,3,2,2,3,4,4,3,3,3,5,4,4,2,3,3,3,3
Briard,3,4,4,2,4,3,4,1,5,1,1,4,4,4,2,3,3,5,4,4,2,4,3,3,4,4,4,3,4,3,5
Brittany,3,5,5,4,4,1,5,3,5,5,3,3,5,5,4,4,3,5,5,3,3,5,3,5,5,3,3,1,4,3,4
Brussels Griffon,3,3,4,3,3,5,5,3,4,3,3,3,5,4,3,3,2,1,4,3,3,5,3,1,5,1,4,1,1,2,5
Bull Terrier,3,5,5,3,4,4,5,3,4,1,5,5,4,5,5,4,4,5,4,5,4,5,5,4,5,2,1,2,1,4,5
Bulldog,3,4,3,4,2,5,5,3,2,5,5,3,2,3,5,4,4,4,2,3,2,4,5,2,4,2,4,3,1,1,1
Bullmastiff,3,4,4,4,3,3,5,1,4,5,5,3,2,3,3,2,2,5,3,4,3,5,5,3,4,5,4,2,4,2,3
Cairn Terrier,4,5,5,3,4,5,5,3,4,1,5,2,5,4,4,4,4,5,5,4,3,5,3,4,3,1,4,1,4,4,3
Canaan Dog,4,3,4,3,3,4,4,4,3,1,5,5,4,3,2,5,4,2,4,3,3,4,2,3,4,3,3,3,3,5,2
Cane Corso,2,3,4,4,4,1,4,3,3,4,5,4,4,5,2,3,1,2,5,3,2,2,4,5,3,4,3,1,3,4,2
Cardigan Welsh Corgi,4,4,3,3,3,4,5,4,3,1,3,4,3,3,3,4,4,4,5,3,2,4,4,4,4,2,2,3,4,3,3
Catahoula Leopard Dog,2,3,4,3,3,1,5,3,1,1,5,2,4,5,1,3,1,3,3,3,3,2,3,1,2,4,3,2,3,3,3
Caucasian Shepherd Dog,3,3,3,4,3,2,4,4,2,4,2,2,2,2,2,3,1,2,4,4,4,3,4,3,2,5,3,3,5,2,2
Cavalier King Charles Spaniel,4,5,4,3,3,5,5,3,5,1,4,4,3,4,5,4,5,5,4,2,3,5,4,3,5,2,3,1,3,2,2
Cesky Terrier,4,3,3,3,3,5,5,1,2,1,4,4,2,3,3,5,4,3,3,3,3,5,4,2,4,2,3,3,3,3,3
Chesapeake Bay Retriever,3,3,5,4,3,1,5,5,1,3,5,3,5,5,1,4,1,3,4,5,3,4,4,3,3,3,3,2,4,4,4
Chihuahua,3,4,3,2,3,5,5,2,2,1,5,4,3,1,2,2,4,5,4,2,3,4,3,3,5,1,3,1,1,2,2
Chinese Crested,3,4,2,2,3,5,4,2,4,1,2,4,2,2,4,5,3,5,3,1,4,3,2,3,5,2,3,1,1,3,1
Chinese Shar-Pei,3,2,2,3,3,4,2,5,1,2,5,3,2,3,2,1,2,2,2,1,5,1,4,2,2,3,5,4,2,1,2
Chinook,3,5,3,3,3,4,5,5,5,1,2,4,3,3,4,4,1,5,5,3,3,4,3,2,5,4,2,1,5,4,2
Chow Chow,3,1,2,3,2,3,2,1,1,3,1,2,2,2,1,2,2,1,1,2,5,1,4,2,2,4,1,5,5,2,2
Clumber Spaniel,4,4,3,4,4,5,5,5,4,5,1,4,3,2,3,2,5,3,3,1,5,5,5,5,4,3,1,2,5,2,4
Cockapoo,4,5,4,2,3,4,5,1,5,1,3,4,3,3,4,2,5,4,4,3,2,5,3,3,4,2,2,3,4,4,3
Cocker Spaniel,4,4,3,3,4,5,5,3,4,1,1,5,4,3,3,4,3,3,4,2,4,4,4,5,5,2,3,1,4,3,4
Collie,4,5,3,3,3,3,5,5,4,1,2,4,3,3,4,3,4,5,4,2,3,4,3,4,5,3,4,2,4,3,1
Coton de Tulear,4,5,3,2,3,5,5,1,5,1,2,3,3,3,5,5,4,5,4,2,3,5,3,1,5,1,2,1,3,3,3
Curly-Coated Retriever,3,4,4,3,4,1,5,3,4,2,3,4,5,4,3,2,3,5,5,3,5,5,3,5,3,3,3,3,4,4,4
Dachshund,3,3,3,3,4,5,4,3,3,1,3,2,3,3,1,2,4,5,4,3,4,4,5,5,4,1,5,3,1,3,5
Dalmatian,3,4,5,4,3,2,5,5,4,1,5,4,5,5,3,4,3,4,4,4,2,4,4,2,4,3,2,3,3,4,4
Dandie Dinmont Terrier,3,4,3,2,3,4,5,3,3,1,2,2,3,2,3,3,4,4,3,3,3,4,4,4,3,1,2,2,3,3,3
Doberman Pinscher,3,3,4,4,3,3,5,4,1,4,5,5,3,3,3,1,3,3,5,3,2,5,3,1,5,4,1,2,1,4,2
Dogo Argentino,2,3,4,3,3,1,4,1,2,3,4,2,4,4,2,3,1,2,3,4,2,3,2,5,3,4,2,2,2,4,4
Dogue de Bordeaux,3,3,3,4,3,5,5,3,1,5,5,2,2,5,1,2,1,5,3,2,4,3,4,4,4,4,2,2,3,2,1
Dutch Shepherd,3,4,4,3,3,3,4,4,4,2,3,5,4,4,2,4,3,4,4,3,2,4,2,3,3,3,2,2,4,4,2
English Cocker Spaniel,4,5,4,3,4,5,5,3,5,1,3,4,5,4,5,4,4,5,5,3,3,5,5,5,5,2,4,1,4,3,4
English Foxhound,3,4,5,3,4,1,4,3,5,1,5,3,5,5,3,4,2,4,3,4,4,5,2,5,3,3,4,4,3,3,5
English Setter,3,5,4,3,4,1,5,3,5,2,3,3,4,5,5,3,3,5,5,2,4,5,5,5,4,3,4,1,4,3,5
English Springer Spaniel,3,5,5,3,4,1,5,3,5,1,2,5,5,5,4,3,3,5,5,3,3,5,3,5,4,3,3,1,3,4,4
English Toy Spaniel,3,4,3,3,3,4,5,5,4,2,4,3,3,2,4,2,4,1,3,3,4,4,3,4,4,2,3,1,2,2,2
Entlebucher Mountain Dog,3,4,5,3,4,1,5,3,3,1,5,3,5,5,2,3,2,5,4,4,4,5,3,4,4,3,5,3,4,2,3
Field Spaniel,3,5,5,3,4,1,5,3,4,1,4,5,5,5,4,3,3,5,5,3,3,5,4,4,4,2,2,1,3,4,5
