Name,Value. Adaptability,Value. All Around Friendliness,Value. Exercise Needs,Value. Health Grooming,Value. Trainability,Value.Adapts Well to Apartment Living,Value.Affectionate with Family,Value.Amount Of Shedding,Value.Dog Friendly,Value.Drooling Potential,Value.Easy To Groom,Value.Easy To Train,Value.Energy Level,Value.Exercise Needs,Value.Friendly Toward Strangers,Value.General Health,Value.Good For Novice Owners,Value.Incredibly Kid Friendly Dogs,Value.Intelligence,Value.Intensity,Value.Potential For Mouthiness,Value.Potential For Playfulness,Value.Potential For Weight Gain,Value.Prey Drive,Value.Sensitivity Level,Value.Size,Value.Tendency To Bark Or Howl,Value.Tolerates Being Alone,Value.Tolerates Cold Weather,Value.Tolerates Hot Weather,Value.Wanderlust Potential
Pomsky,3,3,3,3,4,5,5,4,3,1,2,3,4,3,3,3,2,2,4,2,3,4,3,4,4,2,5,1,5,3,2
Poodle,4,5,4,2,4,5,5,1,4,1,1,5,4,4,4,2,5,5,5,3,4,5,4,2,4,4,2,1,3,4,3
Portuguese Water Dog,3,5,5,2,4,4,5,1,5,1,2,4,5,5,3,4,3,5,5,3,5,5,3,3,4,3,3,2,4,3,3
Pug,3,4,4,3,2,5,5,5,4,1,5,3,3,3,4,1,5,4,2,4,2,5,5,3,3,2,2,1,2,1,2
Puggle,4,5,3,3,3,4,3,3,5,1,5,2,3,3,5,4,5,5,3,2,3,3,5,2,3,2,4,3,3,3,5
Puli,3,4,5,2,4,4,5,1,5,1,1,2,5,5,2,5,1,5,4,5,3,5,3,4,4,3,4,2,4,3,5
Pyrenean Shepherd,3,4,5,2,3,5,5,3,2,1,3,2,4,5,2,2,2,5,4,5,3,5,3,4,4,2,5,1,4,3,2
Rat Terrier,3,4,5,3,3,5,4,4,3,1,5,5,5,4,4,4,3,5,4,4,2,5,3,4,4,1,1,3,1,4,4
Redbone Coonhound,3,4,5,3,4,4,5,2,4,4,5,3,4,5,3,3,2,5,4,4,4,5,3,4,5,3,4,2,3,2,5
Rhodesian Ridgeback,3,4,5,4,3,1,5,4,4,1,5,2,4,5,3,4,2,4,4,4,3,5,3,5,4,4,1,2,3,3,5
Rottweiler,2,4,4,4,4,2,5,4,2,4,5,4,4,4,4,2,1,4,5,4,3,5,5,4,4,3,4,1,2,3,2
Saint Bernard,3,5,3,4,2,3,5,4,5,5,2,2,3,2,5,2,2,5,4,2,3,4,4,1,4,5,1,1,5,1,2
Saluki,2,4,4,3,4,1,5,2,4,1,4,4,5,5,1,4,2,4,4,2,4,5,1,5,5,4,1,1,2,3,5
Samoyed,3,5,4,3,4,2,5,5,5,2,1,3,5,5,5,3,2,5,3,2,3,5,4,5,4,3,3,2,5,1,4
Schipperke,3,3,5,3,3,4,4,3,2,1,5,2,5,5,2,4,4,5,4,3,3,5,5,2,4,1,4,3,3,2,5
Schnoodle,3,4,4,3,3,3,4,2,3,1,4,4,4,4,3,3,5,5,5,3,3,4,4,3,4,4,2,2,2,4,3
Scottish Deerhound,3,4,5,3,3,1,5,5,2,1,2,2,5,5,5,3,1,4,3,5,4,5,4,5,3,5,1,2,4,4,4
Scottish Terrier,3,4,4,2,3,4,5,2,4,1,2,1,4,4,4,4,2,4,4,4,3,4,3,3,4,2,4,3,4,3,5
Sealyham Terrier,4,4,4,3,3,4,4,4,4,3,1,3,4,4,3,5,4,4,4,2,2,4,3,2,4,2,2,2,4,3,3
Shetland Sheepdog,3,5,4,3,3,2,5,5,4,1,2,5,4,4,5,4,3,5,5,2,1,4,3,3,5,1,1,2,4,3,2
Shiba Inu,4,3,3,3,4,5,4,4,3,1,4,2,4,3,3,3,4,3,4,2,4,3,2,3,3,2,4,5,4,3,4
Shih Tzu,3,5,3,2,3,5,5,3,4,1,1,3,2,2,5,3,5,4,4,3,4,4,4,4,3,1,2,3,3,1,2
Siberian Husky,3,5,5,3,4,2,5,3,5,3,2,2,5,5,5,4,1,5,3,3,4,5,2,3,4,3,5,1,5,3,5
Silken Windhound,4,4,4,3,4,4,5,2,3,2,4,5,4,4,4,4,4,4,4,2,3,5,2,5,4,3,1,2,4,4,4
Silky Terrier,3,3,4,3,4,5,4,2,2,1,4,4,4,3,3,4,3,3,4,4,2,4,3,5,3,1,4,3,1,4,3
Skye Terrier,4,4,4,3,4,4,4,3,2,1,3,2,3,3,5,5,4,4,4,4,3,4,3,4,3,2,4,2,4,4,4
Sloughi,3,4,4,3,3,4,5,3,4,1,5,3,5,5,3,3,2,5,4,3,3,3,2,5,4,4,2,3,2,3,3
Small Munsterlander Pointer,3,5,5,3,4,1,5,3,5,1,3,5,4,5,4,5,2,5,5,5,3,4,3,5,3,3,3,4,5,3,4
Soft Coated Wheaten Terrier,3,5,4,3,3,5,5,2,5,1,3,4,4,4,5,4,4,5,4,3,2,5,3,3,4,3,3,2,2,3,4
Stabyhoun,3,4,4,3,4,2,5,3,4,1,3,5,3,4,3,5,3,5,5,4,1,5,3,4,4,3,3,3,2,2,3
Staffordshire Bull Terrier,2,4,4,3,3,3,5,3,1,3,5,2,3,4,5,3,1,5,3,3,2,5,4,2,4,2,3,2,3,1,4
Standard Schnauzer,3,3,5,2,4,4,4,1,3,1,2,3,5,5,2,5,2,4,5,3,3,5,1,5,4,3,2,2,4,4,5
Sussex Spaniel,4,5,2,3,3,5,5,3,5,1,4,3,2,2,5,4,5,5,5,1,2,4,5,1,5,2,4,1,5,5,1
Swedish Vallhund,3,4,5,4,3,3,5,4,3,1,5,5,5,5,5,4,1,4,5,3,2,5,4,4,3,3,1,3,4,3,3
Tibetan Mastiff,3,4,3,3,3,1,5,2,5,2,4,1,4,2,2,3,1,5,5,2,5,5,4,3,5,5,2,1,5,2,3
Tibetan Spaniel,3,4,4,3,4,5,5,3,4,1,4,4,3,4,3,5,4,5,4,3,3,4,3,3,5,1,4,1,1,2,3
Tibetan Terrier,4,4,5,2,3,5,5,1,4,1,1,4,5,5,3,5,3,5,4,4,2,5,3,2,4,2,2,1,4,4,3
Toy Fox Terrier,3,4,5,3,4,5,5,4,3,1,5,3,5,5,3,5,3,4,4,4,2,5,2,5,4,1,4,1,2,3,4
Treeing Tennessee Brindle,2,4,4,4,3,1,4,4,4,3,5,3,4,5,3,4,2,4,4,4,3,3,3,4,3,3,1,2,3,3,1
Treeing Walker Coonhound,3,4,4,4,4,1,4,3,3,2,5,2,4,5,3,4,2,4,4,4,3,3,3,4,5,4,5,2,3,3,5
Vizsla,3,5,5,3,4,1,5,2,5,1,5,5,5,5,5,4,3,5,4,4,4,5,2,2,5,3,5,1,1,4,5
Weimaraner,3,4,5,4,4,1,5,4,3,4,5,4,5,5,3,3,2,4,5,5,5,5,2,5,5,4,2,1,3,4,5
Welsh Springer Spaniel,4,4,5,3,4,4,5,3,4,1,4,5,5,5,3,4,4,5,5,4,3,4,4,3,5,3,5,1,4,4,5
Welsh Terrier,3,5,5,3,4,3,4,2,5,1,2,3,5,5,4,5,3,5,5,5,2,5,3,5,3,2,4,2,2,2,4
West Highland White Terrier,4,4,4,3,4,4,5,4,5,1,3,4,4,4,3,3,4,4,4,4,2,4,4,4,4,2,4,2,4,3,3
Whippet,3,5,4,3,4,5,5,2,4,1,5,4,5,5,4,4,3,5,4,2,4,5,1,5,5,3,1,2,1,4,4
Wirehaired Pointing Griffon,3,5,4,3,4,1,5,1,4,1,3,5,5,4,5,4,3,5,5,3,3,5,3,4,4,3,4,1,4,3,4
Xoloitzcuintli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yorkipoo,4,4,4,2,4,5,5,1,3,1,4,4,5,3,2,3,5,4,4,3,3,4,2,3,4,1,5,3,2,3,2
Yorkshire Terrier,3,3,5,2,3,5,4,2,3,1,1,3,5,4,2,4,4,2,3,4,2,5,2,2,5,1,3,2,2,2,3
